index,ioi_beat,unbiased_cv,npvi,fourier_beat,freq_reso,n_elements,signal_length,ugof_ioi,ugof_fft,fs,filename,temperature,abundance,n_sound_per_min,time_of_day,acoustic_diversity,location,year,month,day ,time_h,time_min ,vess_den_fishing,vess_den_pleasure,vess_den_speed,vess_den_tot,vess_den_big,vess_den_other,vess_den_trade
28,0.4,0.11,10.55,0.38,0.02,24,11497,0.35,0.35,200,BM_28.xlsx,26.402,L,24,L,8,Crete,2017,7,17,21,23,0,0.2,0,0.7,0,0.5,0
29,0.45,0.12,9.94,0.47,0.02,22,9429,0.23,0.55,200,BM_29.xlsx,25.744,H,27,L,8,Crete,2017,7,21,21,23,0,0.2,0,0.7,0,0.5,0
30,0.35,0.23,20.91,0.37,0.02,21,11378,0.43,0.43,200,BM_30.xlsx,25.574,L,23,L,8,Crete,2017,7,23,21,23,0,0.2,0,0.7,0,0.5,0
31,0.44,0.11,12.43,44.59,0.02,26,11416,0.48,0.58,200,BM_31.xlsx,24.52,H,27,H,8,Mallorca,2017,7,4,22,59,0,16.5,0,86.4,44,26,0
32,0.36,0.2,17.13,44.3,0.02,22,11585,0.53,0.23,200,BM_32.xlsx,25.79,H,27,H,8,Mallorca,2017,7,9,21,47,0,16.5,0,86.4,44,26,0
33,0.45,0.18,15.72,0.47,0.02,27,11600,0.41,0.45,200,BM_33.xlsx,26.57,H,30,H,8,Mallorca,2017,7,13,21,59,0,16.5,0,86.4,44,26,0
34,0.36,0.12,11.79,0.36,0.02,21,11109,0.66,0.66,200,BM_34.xlsx,26.63,H,25,H,8,Mallorca,2017,7,14,21,59,0,16.5,0,86.4,44,26,0
35,0.44,0.24,21.2,47.9,0.02,26,11315,0.58,0.74,200,BM_35.xlsx,24.44,H,26,H,8,Mallorca,2017,7,3,21,35,0,16.5,0,86.4,44,26,0
36,0.41,0.1,9.08,0.43,0.02,25,11579,0.42,0.42,200,BM_36.xlsx,26.96,H,25,H,8,Mallorca,2017,7,18,21,47,0,16.5,0,86.4,44,26,0
37,0.46,0.33,24.28,34.93,0.02,27,11417,0.56,0.42,200,BM_37.xlsx,27.33,H,26,H,8,Mallorca,2017,7,20,21,35,0,16.5,0,86.4,44,26,0
38,0.36,0.17,18.67,39.91,0.02,22,11520,0.72,0.33,200,BM_38.xlsx,27.48,L,20,H,8,Mallorca,2017,7,24,21,47,0,16.5,0,86.4,44,26,0
39,0.25,0.44,39.42,14.43,0.02,14,10350,0.53,0.4,200,BM_39.xlsx,27.12,L,14,H,8,Mallorca,2017,7,25,21,35,0,16.5,0,86.4,44,26,0
40,0.35,0.28,17.04,36.99,0.02,21,11499,0.53,0.21,200,BM_40.xlsx,26.97,L,20,H,8,Mallorca,2017,7,26,21,35,0,16.5,0,86.4,44,26,0
41,0.22,0.29,31.28,33.41,0.02,14,11648,0.54,0.63,200,BM_41.xlsx,26.5,L,14,L,4,Crete,2017,7,16,21,23,0,0.2,0,0.7,0,0.5,0
42,0.39,0.12,16.9,0.39,0.02,23,11381,0.25,0.25,200,BM_42.xlsx,26.549,L,23,L,4,Crete,2017,7,18,21,11,0,0.2,0,0.7,0,0.5,0
43,0.42,0.09,10.19,0.42,0.02,25,11359,0.41,0.41,200,BM_43.xlsx,26.549,H,25,L,4,Crete,2017,7,18,21,23,0,0.2,0,0.7,0,0.5,0
44,0.38,0.18,17.13,81.93,0.02,23,11646,0.78,0.26,200,BM_44.xlsx,26.549,L,23,L,4,Crete,2017,7,18,21,35,0,0.2,0,0.7,0,0.5,0
45,0.34,0.1,12.48,0.34,0.02,21,11650,0.45,0.45,200,BM_45.xlsx,26.549,L,20,L,4,Crete,2017,7,18,21,59,0,0.2,0,0.7,0,0.5,0
46,0.35,0.18,18.45,0.36,0.02,21,11518,0.55,0.41,200,BM_46.xlsx,26.329,L,20,L,4,Crete,2017,7,20,21,21,0,0.2,0,0.7,0,0.5,0
47,0.26,0.32,19.31,80.01,0.02,13,9384,0.53,0.62,200,BM_47.xlsx,25.744,H,26,L,4,Crete,2017,7,21,21,59,0,0.2,0,0.7,0,0.5,0
48,0.38,0.18,14.73,0.4,0.02,23,11536,0.27,0.27,200,BM_48.xlsx,25.331,L,22,L,4,Crete,2017,7,22,21,23,0,0.2,0,0.7,0,0.5,0
49,0.36,0.23,13.61,0.39,0.02,21,11202,0.76,0.76,200,BM_49.xlsx,25.331,L,20,H,4,Crete,2017,7,22,21,35,0,0.2,0,0.7,0,0.5,0
50,0.31,0.4,32.87,30.77,0.02,18,11049,0.64,0.68,200,BM_50.xlsx,25.307,L,17,H,4,Crete,2017,7,25,21,47,0,0.2,0,0.7,0,0.5,0
51,0.44,0.11,9.78,0.44,0.02,26,11380,0.41,0.41,200,BM_51.xlsx,,H,26,L,4,Mallorca,2017,8,3,21,11,0,45.1,0,145.8,42.2,58.5,0
52,0.52,0.19,18.89,0.5,0.02,31,11588,0.34,0.34,200,BM_52.xlsx,,H,31,L,4,Mallorca,2017,8,6,21,23,0,45.1,0,145.8,42.2,58.5,0
53,0.47,0.25,21.61,17.92,0.02,28,11387,0.72,0.59,200,BM_53.xlsx,,H,29,H,4,Mallorca,2017,8,6,21,35,0,45.1,0,145.8,42.2,58.5,0
54,0.26,0.28,23.56,40.96,0.02,16,11406,0.36,0.49,200,BM_54.xlsx,27.45,L,19,L,4,Mallorca,2017,7,22,21,11,0,16.5,0,86.4,44,26,0
55,0.16,0.19,26.53,15.15,0.02,9,9928,0.69,0.5,200,BM_55.xlsx,27.48,H,26,H,4,Mallorca,2017,7,24,21,47,0,16.5,0,86.4,44,26,0
56,0.32,0.22,16.2,40.96,0.02,19,11201,0.36,0.54,200,BM_56.xlsx,27.48,L,22,H,4,Mallorca,2017,7,24,21,59,0,16.5,0,86.4,44,26,0
57,0.27,0.36,20.88,29.05,0.02,15,10463,0.39,0.57,200,BM_57.xlsx,27.12,H,41,H,4,Mallorca,2017,7,25,21,59,0,16.5,0,86.4,44,26,0
